input,output,category
I paid for 'AWS for ML Engineers' but it’s not showing in my dashboard. What should I do?,"Please confirm you’re logged into the same email used during purchase. Then refresh the dashboard and check ‘My Courses’. If it still doesn’t appear, share your order ID (or payment reference) and the purchase email—our team can sync the enrollment right away.",Enrollment
I purchased by mistake. I didn’t start the course. Can you refund?,"If you haven’t started (or have minimal progress) and the purchase is recent, you’re usually eligible. Share your order ID and we’ll help you request the refund.",Refunds
How do I ask the instructor a question in 'MLOps Bootcamp'?,Use the Q&A/Discussion tab inside the course. Post your question with the lesson name and any error logs or screenshots. This helps the instructor reply faster.,Instructor Support
How long does it take to finish 'NLP with Transformers'?,"Most learners complete 'NLP with Transformers' in 2–6 weeks depending on pace. You can learn anytime, and your progress is saved so you can continue where you left off.",Course Info
Can I use one account on multiple devices?,"Yes, you can sign in on multiple devices. For security, avoid sharing your password and sign out from devices you no longer use.",Account & Profile
Can I request a live session?,"If your course includes live sessions, you’ll see the schedule on the course page. If it doesn’t, we can note your request—many courses add live Q&A sessions based on learner demand.",Instructor Support
I forgot my password and can’t log in.,"Use the ‘Forgot password’ link on the login page to reset your password. If you don’t receive the reset email within a few minutes, check Spam/Promotions, then tell us the email you used and we’ll help.",Access & Login
How do I get the certificate for 'Deep Learning with PyTorch'?,"Complete all required lessons and assessments, then go to the course page and open the ‘Certificate’ tab (or ‘Completion’ section). If it’s still locked, ensure all graded items are completed.",Certificates
"I submitted an assignment in 'MLOps Bootcamp', but it still shows as pending.","Sometimes the dashboard takes a few minutes to sync. Please refresh and re-open the assignment page. If it’s still pending after 30 minutes, share a screenshot and your registered email so we can check the submission status.",Assignments
Where can I download the starter code for 'Interview Prep: AI Engineer' projects?,"Open the lesson that contains the project and look for the ‘Resources’ or ‘Downloads’ section. If you can’t find it, tell me the lesson name and I’ll point you to the exact place.",Assignments
I want to buy 'System Design Basics'. What will I learn and who is it for?,"'System Design Basics' covers the core topics step-by-step, with hands-on exercises and projects. It’s ideal for beginners to intermediate learners who want practical skills. You’ll learn the key concepts, complete guided labs, and build a portfolio-ready project by the end.",Course Info
Can I verify my certificate publicly?,"Yes, certificates usually include a verification link or ID. You can share that link/ID so others can verify your completion.",Certificates
Can I use one account on multiple devices?,"Yes, you can sign in on multiple devices. For security, avoid sharing your password and sign out from devices you no longer use.",Account & Profile
I purchased by mistake. I didn’t start the course. Can you refund?,"If you haven’t started (or have minimal progress) and the purchase is recent, you’re usually eligible. Share your order ID and we’ll help you request the refund.",Refunds
Can I get a refund for 'Machine Learning Foundations'?,"Refund eligibility depends on your purchase date and how much of the course you’ve completed. If you share your order ID and purchase email, we’ll check eligibility and guide you through the next steps.",Refunds
I accidentally bought the wrong course. Can I switch to 'Frontend for Beginners'?,"Yes, we can help. If the purchase is recent and you haven’t progressed much, we can switch your enrollment to 'Frontend for Beginners' or process a refund depending on your preference and eligibility.",Enrollment
"I submitted an assignment in 'Data Analytics with SQL', but it still shows as pending.","Sometimes the dashboard takes a few minutes to sync. Please refresh and re-open the assignment page. If it’s still pending after 30 minutes, share a screenshot and your registered email so we can check the submission status.",Assignments
My account got locked after multiple attempts. How do I unlock it?,"Wait 10–15 minutes and try again, or use password reset to regain access. If it remains locked, share your account email and we’ll unlock it for you.",Access & Login
What payment methods do you accept for 'NLP with Transformers'?,We typically accept card payments (Visa/Mastercard) and supported local payment options (if available in your region). At checkout you’ll see the exact methods for your location.,Billing & Payments
The video is buffering a lot. What can I do?,"Try lowering the video quality, switching to a stable network, and closing other heavy downloads. If possible, use a different browser or clear cache. If you share your device/browser, we can suggest the best settings.",Technical Issues
"I submitted an assignment in 'Python for Data Science', but it still shows as pending.","Sometimes the dashboard takes a few minutes to sync. Please refresh and re-open the assignment page. If it’s still pending after 30 minutes, share a screenshot and your registered email so we can check the submission status.",Assignments
Does 'MLOps Bootcamp' have prerequisites?,"'MLOps Bootcamp' is beginner-friendly. Basic computer skills help. If the course includes advanced parts, we explain required basics first and provide optional prep lessons so you can follow along.",Course Info
I accidentally bought the wrong course. Can I switch to 'Interview Prep: AI Engineer'?,"Yes, we can help. If the purchase is recent and you haven’t progressed much, we can switch your enrollment to 'Interview Prep: AI Engineer' or process a refund depending on your preference and eligibility.",Enrollment
Where can I download the starter code for 'Frontend for Beginners' projects?,"Open the lesson that contains the project and look for the ‘Resources’ or ‘Downloads’ section. If you can’t find it, tell me the lesson name and I’ll point you to the exact place.",Assignments
The video is buffering a lot. What can I do?,"Try lowering the video quality, switching to a stable network, and closing other heavy downloads. If possible, use a different browser or clear cache. If you share your device/browser, we can suggest the best settings.",Technical Issues
When do instructors respond to questions?,"Response times vary, but most questions are answered within 24–72 hours on business days. If it’s urgent, include ‘urgent’ and provide details so it can be addressed quickly.",Instructor Support
How do I change my email address?,"Go to Account Settings → Profile and look for ‘Email’. If changing email requires verification, follow the verification steps. If you can’t access the old email, contact support for manual help.",Account & Profile
How do I ask the instructor a question in 'Python for Data Science'?,Use the Q&A/Discussion tab inside the course. Post your question with the lesson name and any error logs or screenshots. This helps the instructor reply faster.,Instructor Support
Do you offer installment plans for 'MLOps Bootcamp'?,"If installment plans are available in your region, you’ll see that option at checkout. If you don’t see it, it’s not currently supported for your payment method or location.",Billing & Payments
Can I enroll in 'Interview Prep: AI Engineer' from my phone?,"Yes. You can enroll from any device (phone, tablet, or PC). After purchase, the course appears in your dashboard and you can continue across devices with the same account.",Enrollment
How do I ask the instructor a question in 'System Design Basics'?,Use the Q&A/Discussion tab inside the course. Post your question with the lesson name and any error logs or screenshots. This helps the instructor reply faster.,Instructor Support
Can I enroll in 'System Design Basics' from my phone?,"Yes. You can enroll from any device (phone, tablet, or PC). After purchase, the course appears in your dashboard and you can continue across devices with the same account.",Enrollment
"I submitted an assignment in 'MLOps Bootcamp', but it still shows as pending.","Sometimes the dashboard takes a few minutes to sync. Please refresh and re-open the assignment page. If it’s still pending after 30 minutes, share a screenshot and your registered email so we can check the submission status.",Assignments
Audio works but video is black.,This can happen due to hardware acceleration issues. Try disabling hardware acceleration in your browser settings and reload the page. Also update your browser to the latest version.,Technical Issues
Do you offer installment plans for 'Machine Learning Foundations'?,"If installment plans are available in your region, you’ll see that option at checkout. If you don’t see it, it’s not currently supported for your payment method or location.",Billing & Payments
My account got locked after multiple attempts. How do I unlock it?,"Wait 10–15 minutes and try again, or use password reset to regain access. If it remains locked, share your account email and we’ll unlock it for you.",Access & Login
I purchased by mistake. I didn’t start the course. Can you refund?,"If you haven’t started (or have minimal progress) and the purchase is recent, you’re usually eligible. Share your order ID and we’ll help you request the refund.",Refunds
When do instructors respond to questions?,"Response times vary, but most questions are answered within 24–72 hours on business days. If it’s urgent, include ‘urgent’ and provide details so it can be addressed quickly.",Instructor Support
The platform is showing a blank page after login.,"Please hard refresh (Ctrl+F5), clear browser cache, and disable extensions (especially ad blockers). If it still happens, try an incognito window or a different browser and share a screenshot with the time it occurred.",Technical Issues
Can I get a refund for 'Interview Prep: AI Engineer'?,"Refund eligibility depends on your purchase date and how much of the course you’ve completed. If you share your order ID and purchase email, we’ll check eligibility and guide you through the next steps.",Refunds
I accidentally bought the wrong course. Can I switch to 'Machine Learning Foundations'?,"Yes, we can help. If the purchase is recent and you haven’t progressed much, we can switch your enrollment to 'Machine Learning Foundations' or process a refund depending on your preference and eligibility.",Enrollment
Do you offer installment plans for 'Frontend for Beginners'?,"If installment plans are available in your region, you’ll see that option at checkout. If you don’t see it, it’s not currently supported for your payment method or location.",Billing & Payments
My card was charged but the payment failed. What happens now?,"If you were charged but the order didn’t complete, the charge is usually reversed automatically by your bank within a few business days. If it doesn’t reverse, send us the payment reference and we’ll help confirm the status and complete enrollment or issue a refund.",Billing & Payments
I purchased by mistake. I didn’t start the course. Can you refund?,"If you haven’t started (or have minimal progress) and the purchase is recent, you’re usually eligible. Share your order ID and we’ll help you request the refund.",Refunds
I’m not receiving the OTP / verification email.,"Please check Spam/Promotions and confirm your mailbox isn’t full. Also ensure you’re using the correct email address. If it still doesn’t arrive, share your email and approximate time you tried—we can resend or verify your account manually.",Access & Login
How do I ask the instructor a question in 'NLP with Transformers'?,Use the Q&A/Discussion tab inside the course. Post your question with the lesson name and any error logs or screenshots. This helps the instructor reply faster.,Instructor Support
I accidentally bought the wrong course. Can I switch to 'Interview Prep: AI Engineer'?,"Yes, we can help. If the purchase is recent and you haven’t progressed much, we can switch your enrollment to 'Interview Prep: AI Engineer' or process a refund depending on your preference and eligibility.",Enrollment
Can I get a refund for 'Python for Data Science'?,"Refund eligibility depends on your purchase date and how much of the course you’ve completed. If you share your order ID and purchase email, we’ll check eligibility and guide you through the next steps.",Refunds
Does 'Python for Data Science' have prerequisites?,"'Python for Data Science' is beginner-friendly. Basic computer skills help. If the course includes advanced parts, we explain required basics first and provide optional prep lessons so you can follow along.",Course Info
I accidentally bought the wrong course. Can I switch to 'AWS for ML Engineers'?,"Yes, we can help. If the purchase is recent and you haven’t progressed much, we can switch your enrollment to 'AWS for ML Engineers' or process a refund depending on your preference and eligibility.",Enrollment
Audio works but video is black.,This can happen due to hardware acceleration issues. Try disabling hardware acceleration in your browser settings and reload the page. Also update your browser to the latest version.,Technical Issues
How do I delete my account?,"Go to Account Settings → Privacy (or Security) and choose ‘Delete account’. If you have an active subscription, cancel it first to avoid future charges.",Account & Profile
Can I verify my certificate publicly?,"Yes, certificates usually include a verification link or ID. You can share that link/ID so others can verify your completion.",Certificates
My certificate name is incorrect. Can you change it?,"Yes. Update your profile name in Account Settings, then request a certificate refresh. If it still shows the old name, send us the correct name and we’ll update it.",Certificates
I want to buy 'Machine Learning Foundations'. What will I learn and who is it for?,"'Machine Learning Foundations' covers the core topics step-by-step, with hands-on exercises and projects. It’s ideal for beginners to intermediate learners who want practical skills. You’ll learn the key concepts, complete guided labs, and build a portfolio-ready project by the end.",Course Info
How do I get the certificate for 'Machine Learning Foundations'?,"Complete all required lessons and assessments, then go to the course page and open the ‘Certificate’ tab (or ‘Completion’ section). If it’s still locked, ensure all graded items are completed.",Certificates
Can I get a refund for 'Frontend for Beginners'?,"Refund eligibility depends on your purchase date and how much of the course you’ve completed. If you share your order ID and purchase email, we’ll check eligibility and guide you through the next steps.",Refunds
How do I get the certificate for 'Frontend for Beginners'?,"Complete all required lessons and assessments, then go to the course page and open the ‘Certificate’ tab (or ‘Completion’ section). If it’s still locked, ensure all graded items are completed.",Certificates
I paid for 'System Design Basics' but it’s not showing in my dashboard. What should I do?,"Please confirm you’re logged into the same email used during purchase. Then refresh the dashboard and check ‘My Courses’. If it still doesn’t appear, share your order ID (or payment reference) and the purchase email—our team can sync the enrollment right away.",Enrollment
I want to buy 'System Design Basics'. What will I learn and who is it for?,"'System Design Basics' covers the core topics step-by-step, with hands-on exercises and projects. It’s ideal for beginners to intermediate learners who want practical skills. You’ll learn the key concepts, complete guided labs, and build a portfolio-ready project by the end.",Course Info
